StudentCode,Position
6280717,PST-019
6280781,PST-019
6280797,PST-019
6280799,PST-019
6280801,PST-019
6280813,PST-019
6280840,PST-019
6280841,PST-019
6280859,PST-019
6280884,PST-019
6280901,PST-019
6280902,PST-019
6280919,PST-019
6280932,PST-019
6280952,PST-019
6280974,PST-019
6280996,PST-019
6280997,PST-019
6281006,PST-019
6281007,PST-019
6281063,PST-019
6281251,PST-019
6281261,PST-019
6281270,PST-019
6281271,PST-019
6281302,PST-019
6281323,PST-019
6281324,PST-019
6281337,PST-019
6281344,PST-019
6281353,PST-019
6281369,PST-019
6281376,PST-019
6281398,PST-019
6281406,PST-019
6281415,PST-019
6281422,PST-019
6281433,PST-019
6281462,PST-019
6281470,PST-019
